
metal,91.9,-2.2,3.0
metal,97.6,-2.1,4.1
metal,99.7,-1.5,5.2
metal,98.8,-1.3,5.1
metal,95.6,-2.0,5.6
metal,75.7,-0.8,6.4
metal,98.7,-2.8,2.2
metal,76.9.-1.3,4.7
metal,78.2,-4.2,2.3
metal,74.4,-2.3,3.2
metal,97.8,-3.5,7.6
metal,80.4,-2.1,5.7
metal,98.2,-0.6,6.3
metal,98.9,-2.1,4.2
metal,98.0,-1.9,6.3
metal,99.7,-1.4,4.4
metal,99.0,-1.9,5.2
metal,83.6,-1.5,6.3
metal,93.2,-4.0,4.2
metal,82.2,-1.1,6.6
metal,80.0,-4.0,3.8

poly,73.6,-5.3,14.5
poly,76.3,-4.5,16.0
poly,70.1,-4.3,10.6
poly,68.9,-4.0,12.5
poly,75.7,-8.0,13.3
poly,76.4,-7.6,13.2
poly,76.4,-6.4,14.7
poly,76.4,-7.9,12.3
poly,74.9,-7.7,12.4
poly,76.2,-7.0,17.5
poly,78.0,-4.5,20.1
poly,74.9,-6.8,17.5
poly,78.0,-5.6,16.0
poly,75.3,-7.3,13.5
poly,77.7,-8.6,12.8
poly,74.3,-8.0,13.2
poly,75.5,-9.1,10.9
poly,77.0,-7.5,11.9
poly,79.8,-4.0,13.7
poly,74.8,-9.3,12.0
poly,76.9,-5.7,16.5
poly,79.7,-2.2,17.0
poly,76.1,-6.7,13.9
poly,75.1,-6.8,12.6
poly,80.8,-4.7,15.9
poly,75.9,-7.4,14.7
poly,74.4,-7.4,14.4
poly,73.6,-8.0,14.1
poly,66.3,-8.0,14.5
poly,70.2,-7.8,12.0
poly,73.7,-3.4,15.8
poly,69.2,-6.3,10.4

substrate,65.8,-4.5,0.4
substrate,66.6,-4.4,-1.4
substrate,66.7,-4.0,-1.6
substrate,65.2,-4.2,1.7
substrate,65.5,-5.5,-2.5
substrate,68.0,-4.0,-1.2
substrate,66.7,-4.8,1.4
substrate,66.9,-4.6,-0.6
substrate,62.6,-4.4,-0.2
substrate,66.5,-4.9,2.1
substrate,67.2,-4.8,-0.3
substrate,68.4,-4.2,-0.6
substrate,67.3,-3.7,-1.9
substrate,66.7,-4.8,-2.2
substrate,64.3,-4.6,-0.2
substrate,66.3,-4.2,-0.4
substrate,67.3,-4.5,-1.1
substrate,60.4,-3.4,-1.3
substrate,56.0,-4.6,-0.5
substrate,57.7,-4.7,1.7
substrate,63.1,-3.5,3.4
substrate,65.2,-4.4,-0.3
substrate,59.3,-4.8,0.6
